gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	significant	differentiation	diff_expr
SOAT2	6.491156080549549	-1.9275660786622617	0.4672612802176559	-4.125242471972807	3.703443761601829e-5	1.2740602078911955e-4	TRUE	Healthy vs. Pre treatment	NA
ST5	2207.0720135215433	-1.9299359567333465	0.26887527004902534	-7.177811318911746	7.08362250101929e-13	1.792532208828439e-11	TRUE	Healthy vs. Pre treatment	NA
FAM66A	65.68590861751267	-1.9302000884664332	0.3579117537578177	-5.392949709532339	6.931035598665045e-8	4.609928165436483e-7	TRUE	Healthy vs. Pre treatment	NA
CRB2	57.43011586040196	-1.9302538515462837	0.45427822592942546	-4.249056506278949	2.146727677825022e-5	7.797983306580363e-5	TRUE	Healthy vs. Pre treatment	NA
SPNS1	880.3891720553233	-1.9305275480231887	0.29911546633332325	-6.454121452455688	1.0884849271182331e-10	1.4973174162700251e-9	TRUE	Healthy vs. Pre treatment	NA
WDR86	61.95835401342715	-1.930730678436873	0.5328866457883115	-3.623154555844984	2.910318015509517e-4	8.040286581474171e-4	TRUE	Healthy vs. Pre treatment	NA
F2RL3	20.852307700448097	-1.9312034487286829	0.5429358891517398	-3.556964067610106	3.7516544859889827e-4	0.0010084464387606	TRUE	Healthy vs. Pre treatment	NA
COL13A1	78.04523246440357	-1.9312435985880805	0.42192918960776754	-4.577174668534777	4.712979289768175e-6	2.0146544555759457e-5	TRUE	Healthy vs. Pre treatment	NA
HNRNPUL2-BSCL2	2050.0198456526914	-1.9313621988611496	0.26286096515925716	-7.347466740415463	2.0199853695136151e-13	6.047683860498676e-12	TRUE	Healthy vs. Pre treatment	NA
GABBR1	2149.8655424125664	-1.931482853318306	0.26682167336283347	-7.23885293490311	4.524953594452387e-13	1.2108429173882782e-11	TRUE	Healthy vs. Pre treatment	NA
ATOH8	537.6392623598994	-1.9331664335811805	0.3161402378322862	-6.114901560258628	9.66165854697269e-10	1.0299498972463628e-8	TRUE	Healthy vs. Pre treatment	NA
H2AFB3	6.211793824813476	-1.933214136704505	0.44737516537255106	-4.321237042951688	1.551568801453154e-5	5.826499774472095e-5	TRUE	Healthy vs. Pre treatment	NA
TNN	67.29853261689847	-1.9335299591423656	0.3946988669307223	-4.898747174467414	9.644965324160238e-7	4.862504296543774e-6	TRUE	Healthy vs. Pre treatment	NA
AX747795	106.47896150836698	-1.9337037615818249	0.34152516251930565	-5.661965716720849	1.4964872678956134e-8	1.173258013920084e-7	TRUE	Healthy vs. Pre treatment	NA
NHLRC4	51.99409724317825	-1.93382050411817	0.36294091783473664	-5.328196433885489	9.919281331461076e-8	6.334673918534446e-7	TRUE	Healthy vs. Pre treatment	NA
RP11-304F15.4:ENSG00000248954	13.744918475298975	-1.9338568633525497	0.4348748394518754	-4.4469274557020135	8.710723809903748e-6	3.486606679875736e-5	TRUE	Healthy vs. Pre treatment	NA
ZGPAT	722.236374457583	-1.9340558791936675	0.294399884712283	-6.569485857930346	5.0489289507300107e-11	7.602932964220919e-10	TRUE	Healthy vs. Pre treatment	NA
KCNC4	218.9948326816767	-1.9341714667736267	0.24504384398549173	-7.893164893740987	2.9461793523592386e-15	1.606758221548036e-13	TRUE	Healthy vs. Pre treatment	NA
LOC100130705	45.53930226796924	-1.935550538769273	0.3741942848254299	-5.172581777063354	2.308813979713933e-7	1.3582770002160673e-6	TRUE	Healthy vs. Pre treatment	NA
PRRT1	33.261849478047125	-1.935982848059678	0.31729583087801955	-6.1015073620804765	1.0507279960005564e-9	1.112191035160546e-8	TRUE	Healthy vs. Pre treatment	NA
BOP1	402.9516421641963	-1.9360633421188016	0.2937974900071871	-6.589788571956284	4.4045335322598346e-11	6.805456589615688e-10	TRUE	Healthy vs. Pre treatment	NA
RAVER1	518.0417235901627	-1.9368125162742056	0.29190865890202916	-6.634995082226189	3.2451335433984525e-11	5.173435798078006e-10	TRUE	Healthy vs. Pre treatment	NA
IDUA	391.6248897654912	-1.9369944207353291	0.30770825087004683	-6.294905694788705	3.0758680116994046e-10	3.746391916366878e-9	TRUE	Healthy vs. Pre treatment	NA
TOM1L2	1673.071158711732	-1.9390802119945527	0.23744779586394427	-8.166343279537665	3.178778978310184e-16	2.4480352596348625e-14	TRUE	Healthy vs. Pre treatment	NA
DQ655986	12.16678942185072	-1.9398772892958132	0.44509065400304176	-4.358386930502827	1.31024585299498e-5	5.0097183601319e-5	TRUE	Healthy vs. Pre treatment	NA
LOC100133050	8.45311809387992	-1.940105301296838	0.4112334357743436	-4.717771300973284	2.3844231525811295e-6	1.0920557548030784e-5	TRUE	Healthy vs. Pre treatment	NA
AX748195	319.05094278328426	-1.9401910872401176	0.3538692438601541	-5.482790948644475	4.1866764975111665e-8	2.942708550765933e-7	TRUE	Healthy vs. Pre treatment	NA
SPSB3	1001.4821344347056	-1.940364285709812	0.29417971394153153	-6.595846667032457	4.228357631597576e-11	6.559151755089625e-10	TRUE	Healthy vs. Pre treatment	NA
KIRREL3	21.551635335229346	-1.9409734922182136	0.5341739942307753	-3.633597878558777	2.794963501977357e-4	7.741756026929918e-4	TRUE	Healthy vs. Pre treatment	NA
MESP2	6.365517282579589	-1.9419201841056983	0.4163843989047365	-4.663767877023619	3.1047157629946334e-6	1.3834019371284287e-5	TRUE	Healthy vs. Pre treatment	NA
RP11-429A20.3:ENSG00000256790	10.97605920739836	-1.9425569709937136	0.6399556866876838	-3.0354554407479393	0.00240172709409296	0.00534655555793245	TRUE	Healthy vs. Pre treatment	NA
BRF1	973.7631885711228	-1.942864573637782	0.2701710670405957	-7.1912384805655325	6.420622036906538e-13	1.6438977442922613e-11	TRUE	Healthy vs. Pre treatment	NA
RP1-56K13.5:ENSG00000266588	11.865499556501993	-1.942937173220826	0.4366935990503332	-4.449200028225931	8.619071682917159e-6	3.4572337080261876e-5	TRUE	Healthy vs. Pre treatment	NA
MMP15	171.508578341393	-1.9436577085009408	0.334737402206019	-5.806514885076059	6.378660428027399e-9	5.5063096483955853e-8	TRUE	Healthy vs. Pre treatment	NA
ADCK5	159.70920993861805	-1.943914753751789	0.30152267765342955	-6.44699353587635	1.1409065176254739e-10	1.5595578190965684e-9	TRUE	Healthy vs. Pre treatment	NA
MIER2	356.753995032429	-1.945553225088068	0.2876131518450318	-6.764479345285112	1.3378944377854924e-11	2.37914119068382e-10	TRUE	Healthy vs. Pre treatment	NA
GNB1L	62.36460456213819	-1.945830530077267	0.38501121138947886	-5.0539580991807975	4.327465862880118e-7	2.3777966220167972e-6	TRUE	Healthy vs. Pre treatment	NA
DYRK1B	356.41856703873117	-1.94639234109007	0.26266220663966555	-7.410248950509419	1.2606254674189291e-13	3.990144784495416e-12	TRUE	Healthy vs. Pre treatment	NA
MYOC	2021.1817686831216	-1.9475010457684985	0.560455903745476	-3.474851514193223	5.111361959891611e-4	0.00132762383876563	TRUE	Healthy vs. Pre treatment	NA
